"","poll_date","votes","candidate","source","type"
"25559","2015-04-06",50,"Warren","Real Clear Politics","future approval split"
"25560","2015-03-30",52,"Warren","Real Clear Politics","future approval split"
"25561","2015-03-21",49.5,"Warren","Real Clear Politics","future approval split"
"25562","2015-03-09",54.5,"Warren","Real Clear Politics","future approval split"
"25563","2015-02-15",48.5,"Warren","Real Clear Politics","future approval split"
"25564","2015-01-15",55,"Warren","Real Clear Politics","future approval split"
"25565","2014-12-04",49,"Warren","Real Clear Politics","future approval split"
"25566","2015-10-09",45.5,"Webb","Real Clear Politics","future approval split"
"25567","2015-09-18",48.5,"Webb","Real Clear Politics","future approval split"
"25568","2015-09-12",45,"Webb","Real Clear Politics","future approval split"
"25569","2015-08-29",46.5,"Webb","Real Clear Politics","future approval split"
"25570","2015-08-15",45.5,"Webb","Real Clear Politics","future approval split"
"25571","2015-07-19",46.5,"Webb","Real Clear Politics","future approval split"
"25572","2015-07-05",46.5,"Webb","Real Clear Politics","future approval split"
"25573","2015-06-28",44.5,"Webb","Real Clear Politics","future approval split"
"25574","2015-06-21",45,"Webb","Real Clear Politics","future approval split"
"25575","2015-06-14",45,"Webb","Real Clear Politics","future approval split"
"25576","2015-06-07",46,"Webb","Real Clear Politics","future approval split"
"25577","2015-05-31",46,"Webb","Real Clear Politics","future approval split"
"25578","2015-05-24",47.5,"Webb","Real Clear Politics","future approval split"
"25579","2015-05-20",49,"Webb","Real Clear Politics","future approval split"
"25580","2015-05-17",47.5,"Webb","Real Clear Politics","future approval split"
"25581","2015-04-26",47,"Webb","Real Clear Politics","future approval split"
"25582","2015-04-24",49,"Webb","Real Clear Politics","future approval split"
"25583","2015-04-19",45.5,"Webb","Real Clear Politics","future approval split"
"25584","2015-04-12",50,"Webb","Real Clear Politics","future approval split"
"25585","2015-04-05",48,"Webb","Real Clear Politics","future approval split"
"25586","2015-03-29",49.5,"Webb","Real Clear Politics","future approval split"
"25587","2015-03-22",49,"Webb","Real Clear Politics","future approval split"
"25588","2015-03-15",48.5,"Webb","Real Clear Politics","future approval split"
"25589","2015-03-03",49,"Webb","Real Clear Politics","future approval split"
"25590","2015-02-28",49.5,"Webb","Real Clear Politics","future approval split"
"25591","2015-02-21",49.5,"Webb","Real Clear Politics","future approval split"
"25592","2015-02-14",47,"Webb","Real Clear Politics","future approval split"
"25593","2015-02-07",47,"Webb","Real Clear Politics","future approval split"
"25594","2015-01-31",47.5,"Webb","Real Clear Politics","future approval split"
"25595","2015-01-24",47.5,"Webb","Real Clear Politics","future approval split"
"25596","2015-01-17",45.5,"Webb","Real Clear Politics","future approval split"
"25597","2015-01-10",48,"Webb","Real Clear Politics","future approval split"
"25598","2015-01-03",46,"Webb","Real Clear Politics","future approval split"
"25599","2014-12-28",47,"Webb","Real Clear Politics","future approval split"
"25600","2015-11-06",38,"Jindal","Real Clear Politics","future approval split"
"25601","2015-10-24",41,"Jindal","Real Clear Politics","future approval split"
"25602","2015-10-09",42,"Jindal","Real Clear Politics","future approval split"
"25603","2015-09-18",47,"Jindal","Real Clear Politics","future approval split"
"25604","2015-09-12",41.5,"Jindal","Real Clear Politics","future approval split"
"25605","2015-08-29",42.5,"Jindal","Real Clear Politics","future approval split"
"25606","2015-08-15",43.5,"Jindal","Real Clear Politics","future approval split"
"25607","2015-07-19",45.5,"Jindal","Real Clear Politics","future approval split"
"25608","2015-07-10",47.5,"Jindal","Real Clear Politics","future approval split"
"25609","2015-07-05",47.5,"Jindal","Real Clear Politics","future approval split"
"25610","2015-06-28",46,"Jindal","Real Clear Politics","future approval split"
"25611","2015-06-21",44,"Jindal","Real Clear Politics","future approval split"
"25612","2015-06-14",43.5,"Jindal","Real Clear Politics","future approval split"
"25613","2015-06-07",46,"Jindal","Real Clear Politics","future approval split"
"25614","2015-05-31",45,"Jindal","Real Clear Politics","future approval split"
"25615","2015-05-24",46.5,"Jindal","Real Clear Politics","future approval split"
"25616","2015-05-20",48.5,"Jindal","Real Clear Politics","future approval split"
"25617","2015-05-17",49,"Jindal","Real Clear Politics","future approval split"
"25618","2015-04-26",47,"Jindal","Real Clear Politics","future approval split"
"25619","2015-04-19",47.5,"Jindal","Real Clear Politics","future approval split"
"25620","2015-04-12",47.5,"Jindal","Real Clear Politics","future approval split"
"25621","2015-04-05",51,"Jindal","Real Clear Politics","future approval split"
"25622","2015-03-29",49,"Jindal","Real Clear Politics","future approval split"
"25623","2015-03-22",48.5,"Jindal","Real Clear Politics","future approval split"
"25624","2015-03-15",49,"Jindal","Real Clear Politics","future approval split"
"25625","2015-03-03",50.5,"Jindal","Real Clear Politics","future approval split"
"25626","2015-02-28",49,"Jindal","Real Clear Politics","future approval split"
"25627","2015-02-21",49,"Jindal","Real Clear Politics","future approval split"
"25628","2015-02-14",49.5,"Jindal","Real Clear Politics","future approval split"
"25629","2015-02-07",51,"Jindal","Real Clear Politics","future approval split"
"25630","2015-01-31",48.5,"Jindal","Real Clear Politics","future approval split"
"25631","2015-07-08",53,"Jindal","Real Clear Politics","future approval split"
"25632","2015-06-25",51,"Jindal","Real Clear Politics","future approval split"
"25633","2015-03-21",46.5,"Jindal","Real Clear Politics","future approval split"
"25634","2014-12-04",53,"Jindal","Real Clear Politics","future approval split"
"25635","2016-07-07",51.5,"Cuomo","Real Clear Politics","future approval split"
"25636","2016-06-24",45.5,"Cuomo","Real Clear Politics","future approval split"
"25637","2016-03-29",47,"Cuomo","Real Clear Politics","future approval split"
"25638","2016-03-20",47,"Cuomo","Real Clear Politics","future approval split"
"25639","2015-12-04",48,"Cuomo","Real Clear Politics","future approval split"
"25640","2015-07-26",47.5,"Cuomo","Real Clear Politics","future approval split"
"25641","2015-06-23",48,"Cuomo","Real Clear Politics","future approval split"
"25642","2016-08-19",62.5,"Sanders","Huffington Post","future approval split"
"25643","2016-08-18",55,"Sanders","Huffington Post","future approval split"
"25644","2016-08-11",65,"Sanders","Huffington Post","future approval split"
"25645","2016-08-11",57,"Sanders","Huffington Post","future approval split"
"25646","2016-08-06",60.5,"Sanders","Huffington Post","future approval split"
"25647","2016-08-04",57.5,"Sanders","Huffington Post","future approval split"
"25648","2016-07-31",61,"Sanders","Huffington Post","future approval split"
"25649","2016-07-31",63,"Sanders","Huffington Post","future approval split"
"25650","2016-07-29",55,"Sanders","Huffington Post","future approval split"
"25651","2016-07-22",51.5,"Sanders","Huffington Post","future approval split"
"25652","2016-07-15",58,"Sanders","Huffington Post","future approval split"
"25653","2016-07-14",52.5,"Sanders","Huffington Post","future approval split"
"25654","2016-07-13",62,"Sanders","Huffington Post","future approval split"
"25655","2016-07-12",58,"Sanders","Huffington Post","future approval split"
"25656","2016-07-09",60.5,"Sanders","Huffington Post","future approval split"
"25657","2016-07-08",55.5,"Sanders","Huffington Post","future approval split"
"25658","2016-07-04",53.5,"Sanders","Huffington Post","future approval split"
"25659","2016-07-02",58,"Sanders","Huffington Post","future approval split"
"25660","2016-06-30",53,"Sanders","Huffington Post","future approval split"
"25661","2016-06-26",55,"Sanders","Huffington Post","future approval split"
"25662","2016-06-27",51,"Sanders","Huffington Post","future approval split"
"25663","2016-06-24",60.5,"Sanders","Huffington Post","future approval split"
"25664","2016-06-24",52.5,"Sanders","Huffington Post","future approval split"
"25665","2016-06-19",54.5,"Sanders","Huffington Post","future approval split"
"25666","2016-06-18",54.5,"Sanders","Huffington Post","future approval split"
"25667","2016-06-15",54,"Sanders","Huffington Post","future approval split"
"25668","2016-06-16",62,"Sanders","Huffington Post","future approval split"
"25669","2016-06-10",54,"Sanders","Huffington Post","future approval split"
"25670","2016-06-09",53,"Sanders","Huffington Post","future approval split"
"25671","2016-06-08",52,"Sanders","Huffington Post","future approval split"
"25672","2016-06-08",56,"Sanders","Huffington Post","future approval split"
"25673","2016-06-05",56.5,"Sanders","Huffington Post","future approval split"
"25674","2016-06-02",56,"Sanders","Huffington Post","future approval split"
"25675","2016-06-01",54,"Sanders","Huffington Post","future approval split"
"25676","2016-05-31",48.5,"Sanders","Huffington Post","future approval split"
"25677","2016-05-24",55.5,"Sanders","Huffington Post","future approval split"
"25678","2016-05-24",53,"Sanders","Huffington Post","future approval split"
"25679","2016-05-20",56.5,"Sanders","Huffington Post","future approval split"
"25680","2016-05-19",54.5,"Sanders","Huffington Post","future approval split"
"25681","2016-05-16",53,"Sanders","Huffington Post","future approval split"
"25682","2016-05-16",56.5,"Sanders","Huffington Post","future approval split"
"25683","2016-05-15",53.5,"Sanders","Huffington Post","future approval split"
"25684","2016-05-13",54,"Sanders","Huffington Post","future approval split"
"25685","2016-05-11",53.5,"Sanders","Huffington Post","future approval split"
"25686","2016-05-11",56,"Sanders","Huffington Post","future approval split"
"25687","2016-05-09",56.5,"Sanders","Huffington Post","future approval split"
"25688","2016-05-06",53,"Sanders","Huffington Post","future approval split"
"25689","2016-05-06",48.5,"Sanders","Huffington Post","future approval split"
"25690","2016-05-05",55,"Sanders","Huffington Post","future approval split"
"25691","2016-04-29",56.5,"Sanders","Huffington Post","future approval split"
"25692","2016-04-28",64,"Sanders","Huffington Post","future approval split"
"25693","2016-04-26",57,"Sanders","Huffington Post","future approval split"
"25694","2016-04-22",55,"Sanders","Huffington Post","future approval split"
"25695","2016-04-22",56,"Sanders","Huffington Post","future approval split"
"25696","2016-04-20",49.5,"Sanders","Huffington Post","future approval split"
"25697","2016-04-20",59.5,"Sanders","Huffington Post","future approval split"
"25698","2016-04-17",52.5,"Sanders","Huffington Post","future approval split"
"25699","2016-04-15",57,"Sanders","Huffington Post","future approval split"
"25700","2016-04-10",54.5,"Sanders","Huffington Post","future approval split"
"25701","2016-04-08",52.5,"Sanders","Huffington Post","future approval split"
"25702","2016-04-08",57,"Sanders","Huffington Post","future approval split"
"25703","2016-04-08",54,"Sanders","Huffington Post","future approval split"
"25704","2016-03-31",54.5,"Sanders","Huffington Post","future approval split"
"25705","2016-04-01",56.5,"Sanders","Huffington Post","future approval split"
"25706","2016-03-30",53,"Sanders","Huffington Post","future approval split"
"25707","2016-03-26",54,"Sanders","Huffington Post","future approval split"
"25708","2016-03-24",46.5,"Sanders","Huffington Post","future approval split"
"25709","2016-03-24",55,"Sanders","Huffington Post","future approval split"
"25710","2016-03-17",52.5,"Sanders","Huffington Post","future approval split"
"25711","2016-03-17",54.5,"Sanders","Huffington Post","future approval split"
"25712","2016-03-20",47.5,"Sanders","Huffington Post","future approval split"
"25713","2016-03-18",55,"Sanders","Huffington Post","future approval split"
"25714","2016-03-16",56.5,"Sanders","Huffington Post","future approval split"
"25715","2016-03-17",52.5,"Sanders","Huffington Post","future approval split"
"25716","2016-03-17",55.5,"Sanders","Huffington Post","future approval split"
"25717","2016-03-16",53,"Sanders","Huffington Post","future approval split"
"25718","2016-03-11",58,"Sanders","Huffington Post","future approval split"
"25719","2016-03-10",54.5,"Sanders","Huffington Post","future approval split"
"25720","2016-03-04",56,"Sanders","Huffington Post","future approval split"
"25721","2016-03-03",53.5,"Sanders","Huffington Post","future approval split"
"25722","2016-02-26",54,"Sanders","Huffington Post","future approval split"
"25723","2016-02-24",62,"Sanders","Huffington Post","future approval split"
"25724","2016-02-24",54.5,"Sanders","Huffington Post","future approval split"
"25725","2016-02-11",53,"Sanders","Huffington Post","future approval split"
"25726","2016-02-15",58,"Sanders","Huffington Post","future approval split"
"25727","2016-02-14",53.5,"Sanders","Huffington Post","future approval split"
"25728","2016-02-11",50.5,"Sanders","Huffington Post","future approval split"
"25729","2016-02-11",54.5,"Sanders","Huffington Post","future approval split"
"25730","2016-02-10",57.5,"Sanders","Huffington Post","future approval split"
"25731","2016-02-10",59,"Sanders","Huffington Post","future approval split"
"25732","2016-02-03",56,"Sanders","Huffington Post","future approval split"
"25733","2016-02-03",51,"Sanders","Huffington Post","future approval split"
"25734","2016-02-02",54.5,"Sanders","Huffington Post","future approval split"
"25735","2016-02-02",46.5,"Sanders","Huffington Post","future approval split"
"25736","2016-02-02",58.5,"Sanders","Huffington Post","future approval split"
"25737","2016-01-29",57.5,"Sanders","Huffington Post","future approval split"
"25738","2016-01-27",54.5,"Sanders","Huffington Post","future approval split"
"25739","2016-01-21",58.5,"Sanders","Huffington Post","future approval split"
"25740","2016-01-21",58.5,"Sanders","Huffington Post","future approval split"
"25741","2016-01-20",50,"Sanders","Huffington Post","future approval split"
"25742","2016-01-15",52,"Sanders","Huffington Post","future approval split"
"25743","2016-01-14",54.5,"Sanders","Huffington Post","future approval split"
"25744","2016-01-08",55.5,"Sanders","Huffington Post","future approval split"
"25745","2016-01-06",52,"Sanders","Huffington Post","future approval split"
"25746","2015-12-31",52,"Sanders","Huffington Post","future approval split"
"25747","2015-12-18",51.5,"Sanders","Huffington Post","future approval split"
"25748","2015-12-17",55,"Sanders","Huffington Post","future approval split"
"25749","2015-12-16",54.5,"Sanders","Huffington Post","future approval split"
"25750","2015-12-16",42.5,"Sanders","Huffington Post","future approval split"
"25751","2015-12-11",55.5,"Sanders","Huffington Post","future approval split"
"25752","2015-12-06",52.5,"Sanders","Huffington Post","future approval split"
"25753","2015-12-04",54,"Sanders","Huffington Post","future approval split"
"25754","2015-12-03",49.5,"Sanders","Huffington Post","future approval split"
"25755","2015-12-03",49,"Sanders","Huffington Post","future approval split"
"25756","2015-12-02",48.5,"Sanders","Huffington Post","future approval split"
"25757","2015-11-23",56.5,"Sanders","Huffington Post","future approval split"
"25758","2015-11-19",51,"Sanders","Huffington Post","future approval split"
"25759","2015-11-16",41,"Sanders","Huffington Post","future approval split"
"25760","2015-11-13",52,"Sanders","Huffington Post","future approval split"
"25761","2015-11-06",51,"Sanders","Huffington Post","future approval split"
"25762","2015-11-05",52,"Sanders","Huffington Post","future approval split"
"25763","2015-11-05",53.5,"Sanders","Huffington Post","future approval split"
"25764","2015-11-04",51,"Sanders","Huffington Post","future approval split"
"25765","2015-10-29",51.5,"Sanders","Huffington Post","future approval split"
"25766","2015-10-29",53,"Sanders","Huffington Post","future approval split"
"25767","2015-10-19",52,"Sanders","Huffington Post","future approval split"
"25768","2015-10-25",53,"Sanders","Huffington Post","future approval split"
"25769","2015-10-23",52.5,"Sanders","Huffington Post","future approval split"
"25770","2015-10-22",55,"Sanders","Huffington Post","future approval split"
"25771","2015-10-15",51,"Sanders","Huffington Post","future approval split"
"25772","2015-10-15",55.5,"Sanders","Huffington Post","future approval split"
"25773","2015-10-15",55.5,"Sanders","Huffington Post","future approval split"
"25774","2015-10-16",41,"Sanders","Huffington Post","future approval split"
"25775","2015-10-14",56,"Sanders","Huffington Post","future approval split"
"25776","2015-10-08",51,"Sanders","Huffington Post","future approval split"
"25777","2015-10-08",54,"Sanders","Huffington Post","future approval split"
"25778","2015-10-07",50,"Sanders","Huffington Post","future approval split"
"25779","2015-10-04",49,"Sanders","Huffington Post","future approval split"
"25780","2015-10-02",54.5,"Sanders","Huffington Post","future approval split"
"25781","2015-10-01",43.5,"Sanders","Huffington Post","future approval split"
"25782","2015-09-11",51.5,"Sanders","Huffington Post","future approval split"
"25783","2015-09-25",52.5,"Sanders","Huffington Post","future approval split"
"25784","2015-09-24",52,"Sanders","Huffington Post","future approval split"
"25785","2015-09-24",53,"Sanders","Huffington Post","future approval split"
"25786","2015-09-20",55,"Sanders","Huffington Post","future approval split"
"25787","2015-09-20",49,"Sanders","Huffington Post","future approval split"
"25788","2015-09-17",53.5,"Sanders","Huffington Post","future approval split"
"25789","2015-09-18",55.5,"Sanders","Huffington Post","future approval split"
"25790","2015-09-11",53,"Sanders","Huffington Post","future approval split"
"25791","2015-09-11",54.5,"Sanders","Huffington Post","future approval split"
"25792","2015-08-26",55.5,"Sanders","Huffington Post","future approval split"
"25793","2015-09-05",45.5,"Sanders","Huffington Post","future approval split"
"25794","2015-09-04",54,"Sanders","Huffington Post","future approval split"
"25795","2015-08-28",52,"Sanders","Huffington Post","future approval split"
"25796","2015-08-28",46,"Sanders","Huffington Post","future approval split"
"25797","2015-08-28",52.5,"Sanders","Huffington Post","future approval split"
"25798","2015-08-20",52,"Sanders","Huffington Post","future approval split"
"25799","2015-08-14",53.5,"Sanders","Huffington Post","future approval split"
"25800","2015-08-13",53.5,"Sanders","Huffington Post","future approval split"
"25801","2015-08-07",50,"Sanders","Huffington Post","future approval split"
"25802","2015-07-31",47.5,"Sanders","Huffington Post","future approval split"
"25803","2015-07-29",50,"Sanders","Huffington Post","future approval split"
"25804","2015-07-26",52.5,"Sanders","Huffington Post","future approval split"
"25805","2015-07-26",50.5,"Sanders","Huffington Post","future approval split"
"25806","2015-07-23",53.5,"Sanders","Huffington Post","future approval split"
"25807","2015-07-22",50.5,"Sanders","Huffington Post","future approval split"
"25808","2015-07-20",45,"Sanders","Huffington Post","future approval split"
"25809","2015-07-08",52,"Sanders","Huffington Post","future approval split"
"25810","2015-07-18",51.5,"Sanders","Huffington Post","future approval split"
"25811","2015-07-17",50,"Sanders","Huffington Post","future approval split"
"25812","2015-07-11",50,"Sanders","Huffington Post","future approval split"
"25813","2015-07-09",51.5,"Sanders","Huffington Post","future approval split"
"25814","2015-07-08",49.5,"Sanders","Huffington Post","future approval split"
"25815","2015-06-27",47.5,"Sanders","Huffington Post","future approval split"
"25816","2015-06-20",47,"Sanders","Huffington Post","future approval split"
"25817","2015-06-14",51.5,"Sanders","Huffington Post","future approval split"
"25818","2015-06-11",44.5,"Sanders","Huffington Post","future approval split"
"25819","2015-05-19",50.5,"Sanders","Huffington Post","future approval split"
"25820","2015-04-23",49.5,"Sanders","Huffington Post","future approval split"
"25821","2015-03-02",50,"Sanders","Huffington Post","future approval split"
"25822","2016-05-06",52.5,"Kasich","Huffington Post","future approval split"
"25823","2016-04-29",47,"Kasich","Huffington Post","future approval split"
"25824","2016-04-28",59.5,"Kasich","Huffington Post","future approval split"
"25825","2016-04-26",46.5,"Kasich","Huffington Post","future approval split"
"25826","2016-04-22",51.5,"Kasich","Huffington Post","future approval split"
"25827","2016-04-22",46.5,"Kasich","Huffington Post","future approval split"
"25828","2016-04-20",56.5,"Kasich","Huffington Post","future approval split"
"25829","2016-04-20",49,"Kasich","Huffington Post","future approval split"
"25830","2016-04-17",58,"Kasich","Huffington Post","future approval split"
"25831","2016-04-15",49.5,"Kasich","Huffington Post","future approval split"
"25832","2016-04-10",56,"Kasich","Huffington Post","future approval split"
"25833","2016-04-08",52.5,"Kasich","Huffington Post","future approval split"
"25834","2016-04-08",48.5,"Kasich","Huffington Post","future approval split"
"25835","2016-04-08",46.5,"Kasich","Huffington Post","future approval split"
"25836","2016-04-06",50,"Kasich","Huffington Post","future approval split"
"25837","2016-03-31",51.5,"Kasich","Huffington Post","future approval split"
"25838","2016-04-01",52,"Kasich","Huffington Post","future approval split"
"25839","2016-03-26",50,"Kasich","Huffington Post","future approval split"
"25840","2016-03-24",51,"Kasich","Huffington Post","future approval split"
"25841","2016-03-24",49.5,"Kasich","Huffington Post","future approval split"
"25842","2016-03-17",51,"Kasich","Huffington Post","future approval split"
"25843","2016-03-20",53.5,"Kasich","Huffington Post","future approval split"
"25844","2016-03-19",57,"Kasich","Huffington Post","future approval split"
"25845","2016-03-18",51,"Kasich","Huffington Post","future approval split"
"25846","2016-03-16",61.5,"Kasich","Huffington Post","future approval split"
"25847","2016-03-17",54.5,"Kasich","Huffington Post","future approval split"
"25848","2016-03-17",66,"Kasich","Huffington Post","future approval split"
"25849","2016-03-16",54,"Kasich","Huffington Post","future approval split"
"25850","2016-03-11",52,"Kasich","Huffington Post","future approval split"
"25851","2016-03-10",52,"Kasich","Huffington Post","future approval split"
"25852","2016-03-04",51.5,"Kasich","Huffington Post","future approval split"
"25853","2016-03-03",59.5,"Kasich","Huffington Post","future approval split"
"25854","2016-02-26",47.5,"Kasich","Huffington Post","future approval split"
"25855","2016-02-24",59.5,"Kasich","Huffington Post","future approval split"
"25856","2016-02-24",48,"Kasich","Huffington Post","future approval split"
"25857","2016-02-15",47,"Kasich","Huffington Post","future approval split"
"25858","2016-02-14",56,"Kasich","Huffington Post","future approval split"
"25859","2016-02-11",51,"Kasich","Huffington Post","future approval split"
"25860","2016-02-11",49,"Kasich","Huffington Post","future approval split"
"25861","2016-02-10",58.5,"Kasich","Huffington Post","future approval split"
"25862","2016-02-10",48,"Kasich","Huffington Post","future approval split"
"25863","2016-02-03",44.5,"Kasich","Huffington Post","future approval split"
"25864","2016-02-02",43.5,"Kasich","Huffington Post","future approval split"
"25865","2016-01-29",43,"Kasich","Huffington Post","future approval split"
"25866","2016-01-27",46,"Kasich","Huffington Post","future approval split"
"25867","2016-01-21",43,"Kasich","Huffington Post","future approval split"
"25868","2016-01-21",49,"Kasich","Huffington Post","future approval split"
"25869","2016-01-15",44,"Kasich","Huffington Post","future approval split"
"25870","2016-01-14",44.5,"Kasich","Huffington Post","future approval split"
"25871","2016-01-08",42.5,"Kasich","Huffington Post","future approval split"
"25872","2015-12-31",44,"Kasich","Huffington Post","future approval split"
"25873","2015-12-18",42.5,"Kasich","Huffington Post","future approval split"
"25874","2015-12-17",45.5,"Kasich","Huffington Post","future approval split"
"25875","2015-12-16",50.5,"Kasich","Huffington Post","future approval split"
"25876","2015-12-11",43,"Kasich","Huffington Post","future approval split"
"25877","2015-12-04",43,"Kasich","Huffington Post","future approval split"
"25878","2015-12-03",44.5,"Kasich","Huffington Post","future approval split"
"25879","2015-12-03",43.5,"Kasich","Huffington Post","future approval split"
"25880","2015-11-23",48,"Kasich","Huffington Post","future approval split"
"25881","2015-11-19",42.5,"Kasich","Huffington Post","future approval split"
"25882","2015-11-13",42,"Kasich","Huffington Post","future approval split"
"25883","2015-11-05",44,"Kasich","Huffington Post","future approval split"
"25884","2015-11-05",44.5,"Kasich","Huffington Post","future approval split"
"25885","2015-10-29",51.5,"Kasich","Huffington Post","future approval split"
"25886","2015-10-29",44,"Kasich","Huffington Post","future approval split"
"25887","2015-10-19",52,"Kasich","Huffington Post","future approval split"
"25888","2015-10-23",43.5,"Kasich","Huffington Post","future approval split"
"25889","2015-10-22",47.5,"Kasich","Huffington Post","future approval split"
"25890","2015-10-15",44,"Kasich","Huffington Post","future approval split"
"25891","2015-10-08",45.5,"Kasich","Huffington Post","future approval split"
"25892","2015-10-08",46,"Kasich","Huffington Post","future approval split"
"25893","2015-10-02",44.5,"Kasich","Huffington Post","future approval split"
"25894","2015-10-01",43,"Kasich","Huffington Post","future approval split"
"25895","2015-09-25",48,"Kasich","Huffington Post","future approval split"
"25896","2015-09-24",45,"Kasich","Huffington Post","future approval split"
"25897","2015-09-20",44.5,"Kasich","Huffington Post","future approval split"
"25898","2015-09-17",56,"Kasich","Huffington Post","future approval split"
"25899","2015-09-18",45.5,"Kasich","Huffington Post","future approval split"
"25900","2015-09-17",49.5,"Kasich","Huffington Post","future approval split"
"25901","2015-09-11",46.5,"Kasich","Huffington Post","future approval split"
"25902","2015-09-11",47.5,"Kasich","Huffington Post","future approval split"
"25903","2015-09-04",49,"Kasich","Huffington Post","future approval split"
"25904","2015-08-28",46.5,"Kasich","Huffington Post","future approval split"
"25905","2015-08-28",43,"Kasich","Huffington Post","future approval split"
"25906","2015-08-28",45.5,"Kasich","Huffington Post","future approval split"
"25907","2015-08-20",56.5,"Kasich","Huffington Post","future approval split"
"25908","2015-08-14",48,"Kasich","Huffington Post","future approval split"
"25909","2015-08-13",50.5,"Kasich","Huffington Post","future approval split"
"25910","2015-08-08",47.5,"Kasich","Huffington Post","future approval split"
"25911","2015-08-07",47,"Kasich","Huffington Post","future approval split"
"25912","2015-07-31",47,"Kasich","Huffington Post","future approval split"
"25913","2015-07-31",48,"Kasich","Huffington Post","future approval split"
"25914","2015-07-26",52.5,"Kasich","Huffington Post","future approval split"
"25915","2015-07-23",51.5,"Kasich","Huffington Post","future approval split"
"25916","2015-07-08",51.5,"Kasich","Huffington Post","future approval split"
"25917","2015-07-18",47,"Kasich","Huffington Post","future approval split"
"25918","2015-07-11",47.5,"Kasich","Huffington Post","future approval split"
"25919","2015-07-09",48,"Kasich","Huffington Post","future approval split"
"25920","2015-06-27",48,"Kasich","Huffington Post","future approval split"
"25921","2015-06-20",45,"Kasich","Huffington Post","future approval split"
"25922","2015-05-19",50,"Kasich","Huffington Post","future approval split"
"25923","2014-06-24",52,"Kasich","Huffington Post","future approval split"
"25924","2014-03-20",47.5,"Kasich","Huffington Post","future approval split"
"25925","2013-12-03",51.5,"Kasich","Huffington Post","future approval split"
"25926","2016-08-18",51.5,"Johnson","Huffington Post","future approval split"
"25927","2016-08-19",48,"Johnson","Huffington Post","future approval split"
"25928","2016-08-11",50,"Johnson","Huffington Post","future approval split"
"25929","2016-08-11",49.5,"Johnson","Huffington Post","future approval split"
"25930","2016-08-06",48,"Johnson","Huffington Post","future approval split"
"25931","2016-08-05",50,"Johnson","Huffington Post","future approval split"
"25932","2016-08-04",54.5,"Johnson","Huffington Post","future approval split"
"25933","2016-08-04",48,"Johnson","Huffington Post","future approval split"
"25934","2016-07-31",52.5,"Johnson","Huffington Post","future approval split"
"25935","2016-07-30",50,"Johnson","Huffington Post","future approval split"
"25936","2016-07-23",47.5,"Johnson","Huffington Post","future approval split"
"25937","2016-07-07",49,"Johnson","Huffington Post","future approval split"
"25938","2016-06-26",47.5,"Johnson","Huffington Post","future approval split"
"25939","2016-06-16",51,"Johnson","Huffington Post","future approval split"
"25940","2016-02-26",45.5,"Carson","Huffington Post","future approval split"
"25941","2016-02-24",54.5,"Carson","Huffington Post","future approval split"
"25942","2016-02-24",44,"Carson","Huffington Post","future approval split"
"25943","2016-02-15",45.5,"Carson","Huffington Post","future approval split"
"25944","2016-02-11",44.5,"Carson","Huffington Post","future approval split"
"25945","2016-02-11",47,"Carson","Huffington Post","future approval split"
"25946","2016-02-10",46.5,"Carson","Huffington Post","future approval split"
"25947","2016-02-03",46.5,"Carson","Huffington Post","future approval split"
"25948","2016-02-02",47.5,"Carson","Huffington Post","future approval split"
"25949","2016-02-02",48,"Carson","Huffington Post","future approval split"
"25950","2016-01-29",46,"Carson","Huffington Post","future approval split"
"25951","2016-01-27",49,"Carson","Huffington Post","future approval split"
"25952","2016-01-21",48,"Carson","Huffington Post","future approval split"
"25953","2016-01-21",54.5,"Carson","Huffington Post","future approval split"
"25954","2016-01-15",45.5,"Carson","Huffington Post","future approval split"
"25955","2016-01-14",48.5,"Carson","Huffington Post","future approval split"
"25956","2016-01-08",48.5,"Carson","Huffington Post","future approval split"
"25957","2016-01-06",49,"Carson","Huffington Post","future approval split"
"25958","2015-12-31",46,"Carson","Huffington Post","future approval split"
"25959","2015-12-18",47.5,"Carson","Huffington Post","future approval split"
"25960","2015-12-17",51.5,"Carson","Huffington Post","future approval split"
"25961","2015-12-16",49,"Carson","Huffington Post","future approval split"
"25962","2015-12-16",45.5,"Carson","Huffington Post","future approval split"
"25963","2015-12-11",49.5,"Carson","Huffington Post","future approval split"
"25964","2015-12-06",50.5,"Carson","Huffington Post","future approval split"
"25965","2015-12-04",49,"Carson","Huffington Post","future approval split"
"25966","2015-12-03",48,"Carson","Huffington Post","future approval split"
"25967","2015-12-03",49.5,"Carson","Huffington Post","future approval split"
"25968","2015-12-02",48.5,"Carson","Huffington Post","future approval split"
"25969","2015-11-15",52.5,"Carson","Huffington Post","future approval split"
"25970","2015-11-23",53.5,"Carson","Huffington Post","future approval split"
"25971","2015-11-19",49,"Carson","Huffington Post","future approval split"
"25972","2015-11-16",50,"Carson","Huffington Post","future approval split"
"25973","2015-11-13",52.5,"Carson","Huffington Post","future approval split"
"25974","2015-11-06",54,"Carson","Huffington Post","future approval split"
"25975","2015-11-05",52.5,"Carson","Huffington Post","future approval split"
"25976","2015-11-05",55.5,"Carson","Huffington Post","future approval split"
"25977","2015-11-04",59,"Carson","Huffington Post","future approval split"
"25978","2015-10-29",62,"Carson","Huffington Post","future approval split"
