"","Pollster","Start.Date","End.Date","Entry.Date.Time..ET.","Number.of.Observations","Population","Mode","Favorable","Unfavorable","Undecided","Pollster.URL","Source.URL","Partisan","Affiliation","Question.Text","Question.Iteration","Other","candidate","net"
"1391","YouGov/Economist","2014-08-23","2014-08-25","2014-08-28T18:42:18Z",1000,"Adults","Internet",46,48,7,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-20229","http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/3q5xgxw54u/econToplines.pdf","Nonpartisan","None","",1,,"Clinton",-2
"1392","YouGov/Economist","2014-08-16","2014-08-18","2014-08-22T20:48:10Z",1000,"Adults","Internet",51,42,6,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-20180","http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/qaprx6ei8u/econToplines.pdf","Nonpartisan","None","",1,,"Clinton",9
"1393","YouGov/Economist","2014-08-09","2014-08-11","2014-08-18T17:01:46Z",1000,"Adults","Internet",52,40,8,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-20130","http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/kpttc84jke/econToplines.pdf","Nonpartisan","None","",1,,"Clinton",12
"1394","YouGov/Economist","2014-08-02","2014-08-04","2014-08-07T14:18:23Z",1000,"Adults","Internet",49,44,7,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-20060","http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/4p77753nxv/econToplines.pdf","Nonpartisan","None","",1,,"Clinton",5
"1395","YouGov/Economist","2014-07-26","2014-07-28","2014-07-30T14:49:00Z",1000,"Adults","Internet",49,42,10,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-20005","http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/zfxv8cg1n7/econToplines.pdf","Nonpartisan","None","",1,,"Clinton",7
"1396","AP-GfK (Web)","2014-07-24","2014-07-28","2014-08-01T15:04:22Z",1044,"Adults","Internet",48,42,,"http://elections.huffingtonpost.com/pollster/polls/ap-gfk-web-20024","http://ap-gfkpoll.com/main/wp-content/uploads/2014/08/AP-GfK-July-2014-Poll-Topline-FINAL_Politics.pdf","Nonpartisan","None","",1,,"Clinton",6
"1397","YouGov/Economist","2014-07-19","2014-07-21","2014-07-23T16:00:34Z",1000,"Adults","Internet",51,43,7,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-19908","http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/oum29cwcdw/econToplines.pdf","Nonpartisan","None","",1,,"Clinton",8
"1398","YouGov/Economist","2014-07-12","2014-07-14","2014-07-16T18:32:20Z",1000,"Adults","Internet",46,45,8,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-19867","http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/xo0qdo71c4/econToplines.pdf","Nonpartisan","None","",1,,"Clinton",1
"1399","Gallup","2014-07-07","2014-07-10","2014-07-17T15:20:08Z",1013,"Adults","Live Phone",55,36,9,"http://elections.huffingtonpost.com/pollster/polls/gallup-19870","http://www.gallup.com/poll/173402/clinton-best-known-best-liked-potential-2016-candidate.aspx","Nonpartisan","None","",1,,"Clinton",19
"1400","YouGov/Economist","2014-07-05","2014-07-07","2014-07-09T15:31:51Z",1000,"Adults","Internet",51,43,6,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-19819","http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/ohtvouo0m3/econToplines.pdf","Nonpartisan","None","",1,,"Clinton",8
"1401","YouGov/Economist","2014-06-28","2014-06-30","2014-07-07T14:50:40Z",1000,"Adults","Internet",51,42,8,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-19801","http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/9khafvwx45/econToplines.pdf","Nonpartisan","None","",1,,"Clinton",9
"1402","Quinnipiac","2014-06-24","2014-06-30","2014-07-08T15:18:21Z",1446,"Registered Voters","Live Phone",48,43,10,"http://elections.huffingtonpost.com/pollster/polls/quinnipiac-19810","http://www.quinnipiac.edu/news-and-events/quinnipiac-university-poll/national/release-detail?ReleaseID=2058","Nonpartisan","None","",1,,"Clinton",5
"1403","FOX","2014-06-21","2014-06-23","2014-06-25T16:26:24Z",1018,"Registered Voters","Live Phone",51,47,3,"http://elections.huffingtonpost.com/pollster/polls/fox-19751","http://www.foxnews.com/politics/interactive/2014/06/24/fox-news-polls-iraq-obama-leadership-irs-emails/","Nonpartisan","None","",1,,"Clinton",4
"1404","YouGov/Economist","2014-06-21","2014-06-23","2014-06-25T15:14:53Z",1000,"Adults","Internet",50,46,5,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-19750","http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/whwya8cz98/econToplines.pdf","Nonpartisan","None","",1,,"Clinton",4
"1405","YouGov/Economist","2014-06-14","2014-06-16","2014-06-20T16:52:09Z",1000,"Adults","Internet",46,49,5,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-19716","http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/sksflbbp35/econToplines.pdf","Nonpartisan","None","",1,,"Clinton",-3
"1406","NBC/WSJ","2014-06-11","2014-06-15","2014-06-18T14:12:46Z",1000,"Adults","Live Phone",44,37,19,"http://elections.huffingtonpost.com/pollster/polls/nbc-wsj-19698","http://msnbcmedia.msn.com/i/MSNBC/Sections/A_Politics/14463%20JUNE%20NBC-WSJ%20Poll%20(6-18%20Release).pdf","Nonpartisan","None","",1,,"Clinton",7
"1407","YouGov/Economist","2014-06-07","2014-06-09","2014-06-11T19:04:50Z",1000,"Adults","Internet",49,44,6,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-19633","http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/wfvx48bs5j/econToplines.pdf","Nonpartisan","None","",1,,"Clinton",5
"1408","Bloomberg","2014-06-06","2014-06-09","2014-06-11T16:02:17Z",1005,"Adults","Live Phone",52,40,8,"http://elections.huffingtonpost.com/pollster/polls/bloomberg-19630","http://media.bloomberg.com/bb/avfile/rx0TpnA7.IPc","Nonpartisan","None","",1,,"Clinton",12
"1409","Gallup","2014-06-05","2014-06-08","2014-06-11T15:25:36Z",1027,"Adults","Live Phone",54,43,3,"http://elections.huffingtonpost.com/pollster/polls/gallup-19628","http://www.gallup.com/poll/171290/smaller-majority-americans-view-hillary-clinton-favorably.aspx","Nonpartisan","None","",1,,"Clinton",11
"1410","Saint Leo University","2014-05-28","2014-06-04","2014-06-11T20:19:16Z",802,"Likely Voters","Internet",56,38,,"http://elections.huffingtonpost.com/pollster/polls/saint-leo-university-19639","http://polls.saintleo.edu/wp-content/uploads/2014/06/National-Survey-Toplines-Questions-1-24.pdf","Nonpartisan","None","",1,,"Clinton",18
"1411","FOX","2014-06-01","2014-06-03","2014-06-04T22:11:31Z",1006,"Registered Voters","Live Phone",54,43,3,"http://elections.huffingtonpost.com/pollster/polls/fox-19584","http://www.foxnews.com/politics/interactive/2014/06/05/fox-news-polls-2014-midterm-elections-economy-stock-market/","Nonpartisan","None","",1,,"Clinton",11
"1412","CNN","2014-05-29","2014-06-01","2014-06-12T19:03:56Z",1003,"Adults","Live Phone",55,42,3,"http://elections.huffingtonpost.com/pollster/polls/cnn-19651","http://i2.cdn.turner.com/cnn/2014/images/06/12/cnn.orc.bush.obama.clinton.pdf","Nonpartisan","None","",1,,"Clinton",13
"1413","YouGov/Economist","2014-05-10","2014-05-12","2014-05-14T16:19:24Z",1000,"Adults","Internet",50,45,6,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-19444","http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/3w61rqh3tc/econToplines.pdf","Nonpartisan","None","",1,,"Clinton",5
"1414","YouGov/Economist","2014-05-03","2014-05-05","2014-05-07T20:49:42Z",1000,"Adults","Internet",49,41,10,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-19397","http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/264fofnc11/econToplines.pdf","Nonpartisan","None","",1,,"Clinton",8
"1415","YouGov/Economist","2014-04-26","2014-04-28","2014-05-02T15:56:33Z",1000,"Adults","Internet",54,41,6,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-19367","http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/boljc6ah6k/econToplines.pdf","Nonpartisan","None","",1,,"Clinton",13
"1416","NBC/WSJ","2014-04-23","2014-04-27","2014-04-30T19:54:03Z",1000,"Adults","Live Phone",48,32,20,"http://elections.huffingtonpost.com/pollster/polls/nbc-wsj-19357","http://msnbcmedia.msn.com/i/MSNBC/Sections/A_Politics/14271_APRIL_NBC_WSJ_Poll.pdf","Nonpartisan","None","",1,,"Clinton",16
"1417","YouGov/Economist","2014-04-19","2014-04-21","2014-04-25T14:39:16Z",1000,"Adults","Internet",50,42,8,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-19316","http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/lx2kkwdvcu/econToplines.pdf","Nonpartisan","None","",1,,"Clinton",8
"1418","FOX","2014-04-13","2014-04-15","2014-04-17T14:27:44Z",1012,"Registered Voters","Live Phone",49,45,6,"http://elections.huffingtonpost.com/pollster/polls/fox-19256","http://www.foxnews.com/politics/interactive/2014/04/21/fox-news-poll-independents-more-likely-to-back-anti-obamacare-candidates/","Nonpartisan","None","",1,,"Clinton",4
"1419","YouGov/Economist","2014-04-12","2014-04-14","2014-04-17T15:48:01Z",1000,"Adults","Internet",50,43,7,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-19261","http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/8cnxcwv20i/econToplines.pdf","Nonpartisan","None","",1,,"Clinton",7
"1420","Clarity (D)/New Republic","2014-04-08","2014-04-10","2014-05-02T19:33:58Z",3879,"Adults","Mixed",49,46,4,"http://elections.huffingtonpost.com/pollster/polls/clarity-d-new-republic-19372","http://www.scribd.com/doc/220696463/The-New-Republic-Clarity-Campaign-Labs-2014-National-Poll","Pollster","Dem","",1,,"Clinton",3
"1421","McClatchy/Marist","2014-04-07","2014-04-10","2014-04-15T20:58:53Z",1036,"Registered Voters","Live Phone",52,43,5,"http://elections.huffingtonpost.com/pollster/polls/mcclatchy-marist-19249","http://maristpoll.marist.edu/416-clinton-with-majority-support-against-gop-hopefuls/","Nonpartisan","None","",1,,"Clinton",9
"1422","YouGov/Economist","2014-04-05","2014-04-07","2014-04-14T16:45:21Z",1000,"Adults","Internet",52,41,7,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-19239","http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/sh204vkzrt/econToplines.pdf","Nonpartisan","None","",1,,"Clinton",11
"1423","AP-GfK (Web)","2014-03-20","2014-03-24","2014-05-15T20:01:12Z",1012,"Adults","Internet",46,39,,"http://elections.huffingtonpost.com/pollster/polls/ap-gfk-web-19459","http://ap-gfkpoll.com/main/wp-content/uploads/2014/04/AP-GfK-March-2014-Poll-Topline-Final_Congress-and-2016-updated.pdf","Nonpartisan","None","",1,,"Clinton",7
"1424","GWU/Battleground","2014-03-16","2014-03-20","2014-03-25T16:26:08Z",1000,"Likely Voters","Live Phone",54,42,5,"http://elections.huffingtonpost.com/pollster/polls/gwu-battleground-19123","https://mediarelations.gwu.edu/sites/mediarelations.gwu.edu/files/downloads/Questionnaire%2003.25.2014.pdf","Nonpartisan","None","",1,,"Clinton",12
"1425","Saint Leo University","2014-03-16","2014-03-18","2014-03-27T20:44:32Z",1009,"Adults","Internet",54,40,,"http://elections.huffingtonpost.com/pollster/polls/saint-leo-university-19147","http://polls.saintleo.edu/christie-position-down-nationally-but-up-among-gop/","Nonpartisan","None","",1,,"Clinton",14
"1426","YouGov/Economist","2014-03-08","2014-03-10","2014-03-13T17:30:51Z",1000,"Adults","Internet",53,41,7,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-19041","http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/cja74lyga5/econToplines.pdf","Nonpartisan","None","",1,,"Clinton",12
"1427","Bloomberg","2014-03-07","2014-03-10","2014-03-12T14:35:08Z",1001,"Adults","Live Phone",56,38,6,"http://elections.huffingtonpost.com/pollster/polls/bloomberg-19031","http://media.bloomberg.com/bb/avfile/rfW2nCF5NovM","Nonpartisan","None","",1,,"Clinton",18
"1428","PPP (D)","2014-03-06","2014-03-09","2014-03-14T16:16:21Z",1152,"Likely Voters","Automated Phone",47,47,6,"http://elections.huffingtonpost.com/pollster/polls/ppp-d-19043","http://www.publicpolicypolling.com/pdf/2014/PPP_Release_National_314.pdf","Pollster","Dem","",1,,"Clinton",0
"1429","NBC/WSJ","2014-03-05","2014-03-09","2014-03-12T14:26:19Z",1000,"Adults","Live Phone",44,34,22,"http://elections.huffingtonpost.com/pollster/polls/nbc-wsj-19029","http://msnbcmedia.msn.com/i/MSNBC/Sections/NEWS/A_U.S.%20news/US-news-PDFs/14133%20MARCH%20NBC-WSJ%20Poll%20(3-12%20Release).pdf","Nonpartisan","None","",1,,"Clinton",10
"1430","YouGov/Economist","2014-02-22","2014-02-24","2014-02-28T15:30:55Z",1000,"Adults","Internet",49,44,7,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-18940","http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/ofqqzvdv1r/econToplines.pdf","Nonpartisan","None","",1,,"Clinton",5
"1431","YouGov/Economist","2014-02-15","2014-02-17","2014-02-20T15:03:19Z",1000,"Adults","Internet",48,45,8,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-18876","http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/iibkwromog/econToplines.pdf","Nonpartisan","None","",1,,"Clinton",3
"1432","YouGov/Economist","2014-02-08","2014-02-10","2014-02-24T22:25:44Z",1000,"Adults","Internet",50,42,8,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-18916","http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/v419vbiv9h/econToplines.pdf","Nonpartisan","None","",1,,"Clinton",8
"1433","Gallup","2014-02-06","2014-02-09","2014-02-21T16:05:09Z",1023,"Adults","Live Phone",59,37,,"http://elections.huffingtonpost.com/pollster/polls/gallup-18892","http://www.gallup.com/poll/167510/hillary-clinton-maintains-positive-image.aspx?version=print","Nonpartisan","None","",1,,"Clinton",22
"1434","McClatchy/Marist","2014-02-04","2014-02-09","2014-02-11T21:03:53Z",970,"Registered Voters","Live Phone",52,43,5,"http://elections.huffingtonpost.com/pollster/polls/mcclatchy-marist-18838","http://maristpoll.marist.edu/wp-content/misc/usapolls/us140203/2016/Complete%20February%2012,%202014%20USA%20McClatchy_Marist%20Poll%20Release%20and%20Tables.pdf","Nonpartisan","None","",1,,"Clinton",9
"1435","YouGov/Economist","2014-02-01","2014-02-03","2014-02-05T19:51:53Z",1000,"Adults","Internet",49,45,6,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-18799","http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/u7dbvbax3p/econToplines_update.pdf","Nonpartisan","None","",1,,"Clinton",4
"1436","YouGov/Economist","2014-01-25","2014-01-27","2014-01-29T17:40:25Z",1000,"Adults","Internet",54,41,6,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-18746","http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/72us4xer3n/econToplines.pdf","Nonpartisan","None","",1,,"Clinton",13
"1437","PPP (D)","2014-01-23","2014-01-26","2014-01-29T17:01:44Z",845,"Likely Voters","Automated Phone",45,47,8,"http://elections.huffingtonpost.com/pollster/polls/ppp-d-18741","http://www.publicpolicypolling.com/pdf/2014/PPP_Release_National_129.pdf","Pollster","Dem","",1,,"Clinton",-2
"1438","ABC/Post","2014-01-20","2014-01-23","2014-01-30T16:35:35Z",1003,"Adults","Live Phone",58,38,4,"http://elections.huffingtonpost.com/pollster/polls/abc-post-18754","http://www.washingtonpost.com/page/2010-2019/WashingtonPost/2014/01/30/National-Politics/Polling/release_290.xml","Nonpartisan","None","",1,,"Clinton",20
"1439","YouGov/Economist","2014-01-18","2014-01-20","2014-01-23T21:04:09Z",1000,"Adults","Internet",35,45,20,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-18722","http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/yyvzle4l73/UPDATEDeconToplines.pdf","Nonpartisan","None","",1,,"Clinton",-10
"1440","Quinnipiac","2014-01-15","2014-01-19","2014-01-21T19:08:29Z",1933,"Registered Voters","Live Phone",51,40,9,"http://elections.huffingtonpost.com/pollster/polls/quinnipiac-18703","http://www.quinnipiac.edu/institutes-and-centers/polling-institute/national/release-detail?ReleaseID=1998","Nonpartisan","None","",1,,"Clinton",11
"1441","NBC/Marist","2014-01-12","2014-01-14","2014-01-16T16:58:47Z",1200,"Adults","Live Phone",50,38,12,"http://elections.huffingtonpost.com/pollster/polls/nbc-marist-18679","http://msnbcmedia.msn.com/i/MSNBC/Sections/A_Politics/_Today_Stories_Teases/ChristiePoll.pdf","Nonpartisan","None","",1,,"Clinton",12
"1442","YouGov/Economist","2014-01-11","2014-01-13","2014-01-16T17:36:06Z",1000,"Adults","Internet",52,42,5,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-18681","http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/l9ed6s82hh/econToplines.pdf","Nonpartisan","None","",1,,"Clinton",10
"1443","YouGov/Economist","2014-01-04","2014-01-06","2014-01-09T17:42:37Z",1000,"Adults","Internet",53,42,6,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-18646","http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/vvx1gv49im/trackingreport.pdf","Nonpartisan","None","",1,,"Clinton",11
"1444","YouGov/Economist","2013-12-28","2013-12-30","2014-01-07T18:50:49Z",1000,"Adults","Internet",47,44,8,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-18640","http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/lez7sp7inh/econToplines.pdf","Nonpartisan","None","",1,,"Clinton",3
"1445","YouGov/Economist","2013-12-14","2013-12-16","2014-01-06T21:30:18Z",1000,"Adults","Internet",50,48,2,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-18635","http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/7f2spf7rqc/econToplines.pdf","Nonpartisan","None","",1,,"Clinton",2
"1446","YouGov/Economist","2013-12-14","2013-12-16","2013-12-18T21:13:07Z",1000,"Adults","Internet",48,45,6,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-18573","http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/m8yqd2wrtk/econToplines.pdf","Nonpartisan","None","",1,,"Clinton",3
"1447","PPP (D)","2013-12-12","2013-12-15","2013-12-18T19:09:04Z",1316,"Likely Voters","Automated Phone",47,45,8,"http://elections.huffingtonpost.com/pollster/polls/ppp-d-18568","http://www.publicpolicypolling.com/pdf/2013/PPP_Release_National_1218.pdf","Pollster","Dem","",1,,"Clinton",2
"1448","YouGov/Economist","2013-12-07","2013-12-09","2013-12-12T16:19:50Z",1000,"Adults","Internet",48,47,5,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-18521","http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/zqq3layff3/econToplines.pdf","Nonpartisan","None","",1,,"Clinton",1
"1449","Quinnipiac","2013-12-03","2013-12-09","2013-12-11T23:45:55Z",2692,"Registered Voters","Live Phone",53,42,5,"http://elections.huffingtonpost.com/pollster/polls/quinnipiac-18519","http://www.quinnipiac.edu/institutes-and-centers/polling-institute/national/release-detail?ReleaseID=1988","Nonpartisan","None","",1,,"Clinton",11
"1450","Saint Leo University","2013-12-01","2013-12-06","2013-12-16T20:37:16Z",761,"Likely Voters","Internet",62,36,,"http://elections.huffingtonpost.com/pollster/polls/saint-leo-university-18545","http://polls.saintleo.edu/wp-content/uploads/2013/12/Politics-Questions-Poll-Results-1.pdf","Nonpartisan","None","",1,,"Clinton",26
"1451","YouGov/Economist","2013-11-30","2013-12-02","2013-12-04T21:47:45Z",1000,"Adults","Internet",49,44,7,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-18484","http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/k6k3leamzh/econToplines.pdf","Nonpartisan","None","",1,,"Clinton",5
"1452","YouGov/Economist","2013-11-23","2013-11-25","2013-12-02T23:27:06Z",1000,"Adults","Internet",46,48,6,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-18474","http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/rj6qefgt43/econToplines.pdf","Nonpartisan","None","",1,,"Clinton",-2
"1453","YouGov/Economist","2013-11-16","2013-11-18","2013-11-20T23:23:47Z",1000,"Adults","Internet",46,42,13,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-18435","http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/a6ktiaqoub/econToplines.pdf","Nonpartisan","None","",1,,"Clinton",4
"1454","YouGov/Economist","2013-11-09","2013-11-11","2013-11-14T16:36:58Z",1000,"Adults","Internet",50,39,12,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-18401","http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/i8dpijjqh7/econToplines.pdf","Nonpartisan","None","",1,,"Clinton",11
"1455","YouGov/Economist","2013-11-02","2013-11-04","2013-11-06T19:36:48Z",1000,"Adults","Internet",46,43,11,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-18372","http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/rodhvgyyqb/econToplines.pdf","Nonpartisan","None","",1,,"Clinton",3
"1456","YouGov/Economist","2013-10-26","2013-10-28","2013-10-30T22:37:44Z",1000,"Adults","Internet",48,42,10,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-18325","http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/i4pkgb3edc/econToplines.pdf","Nonpartisan","None","",1,,"Clinton",6
"1457","NBC/WSJ","2013-10-25","2013-10-28","2013-10-30T22:41:50Z",800,"Adults","Live Phone",46,33,21,"http://elections.huffingtonpost.com/pollster/polls/nbc-wsj-18326","http://msnbcmedia.msn.com/i/MSNBC/Sections/A_Politics/_Today_Stories_Teases/Late_October_NBC_WSJ.pdf","Nonpartisan","None","",1,,"Clinton",13
"1458","YouGov/Economist","2013-10-19","2013-10-21","2013-10-23T16:41:44Z",1000,"Adults","Internet",52,40,8,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-18243","http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/yk8ul1tfh8/econToplines.pdf","Nonpartisan","None","",1,,"Clinton",12
"1459","YouGov/Economist","2013-10-12","2013-10-14","2013-10-23T16:25:36Z",1000,"Adults","Internet",50,43,7,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-18242","http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/zsnxxa0ue4/econToplines.pdf","Nonpartisan","None","",1,,"Clinton",7
"1460","Pew","2013-10-09","2013-10-13","2013-10-15T17:45:27Z",752,"Adults","Live Phone",56,39,5,"http://elections.huffingtonpost.com/pollster/polls/pew-18190","http://www.people-press.org/files/legacy-questionnaires/10-15-13%20Topline%20for%20Release.pdf","Nonpartisan","None","",1,,"Clinton",17
"1461","YouGov/Economist","2013-10-05","2013-10-07","2013-10-10T16:50:38Z",1000,"Adults","Internet",53,38,9,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-18157","http://cdn.yougov.com/cumulus_uploads/document/8zzg6rc0te/econToplines.pdf","Nonpartisan","None","",1,,"Clinton",15
"1462","YouGov/Economist","2013-09-28","2013-09-30","2013-10-02T20:17:16Z",1000,"Adults","Internet",51,41,8,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-18119","http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/5q7kz4jllo/econToplines.pdf","Nonpartisan","None","",1,,"Clinton",10
"1463","Quinnipiac","2013-09-23","2013-09-29","2013-10-02T17:17:47Z",1497,"Registered Voters","Live Phone",56,36,8,"http://elections.huffingtonpost.com/pollster/polls/quinnipiac-18116","http://www.quinnipiac.edu/institutes-and-centers/polling-institute/national/release-detail?ReleaseID=1959","Nonpartisan","None","",1,,"Clinton",20
"1464","YouGov/Economist","2013-09-21","2013-09-23","2013-09-25T17:58:00Z",1000,"Adults","Internet",47,44,10,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-18066","http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/3ccim7h98g/econToplines.pdf","Nonpartisan","None","",1,,"Clinton",3
"1465","YouGov/Economist","2013-09-14","2013-09-16","2013-09-18T20:59:56Z",1000,"Adults","Internet",48,40,12,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-17968","http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/m5y7odcf5f/econToplines.pdf","Nonpartisan","None","",1,,"Clinton",8
"1466","YouGov/Economist","2013-09-07","2013-09-09","2013-09-11T20:45:46Z",1000,"Adults","Internet",50,42,8,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-17933","http://cdn.yougov.com/cumulus_uploads/document/aclx0wp1pc/econToplines.pdf","Nonpartisan","None","",1,,"Clinton",8
"1467","NBC/WSJ","2013-09-05","2013-09-08","2013-09-10T16:31:19Z",1000,"Adults","Live Phone",51,31,18,"http://elections.huffingtonpost.com/pollster/polls/nbc-wsj-17917","http://online.wsj.com/public/resources/documents/WSJ-NBCPoll09092013.pdf","Nonpartisan","None","",1,,"Clinton",20
"1468","YouGov/Economist","2013-08-31","2013-09-02","2013-09-09T15:37:34Z",1000,"Adults","Internet",53,40,7,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-17909","http://cdn.yougov.com/cumulus_uploads/document/dtqk62b7do/econToplines.pdf","Nonpartisan","None","",1,,"Clinton",13
"1469","YouGov/Economist","2013-08-24","2013-08-26","2013-08-28T18:20:53Z",1000,"Adults","Internet",50,42,8,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-17865","http://cdn.yougov.com/cumulus_uploads/document/oq5m2zeqyt/econToplines.pdf","Nonpartisan","None","",1,,"Clinton",8
"1470","YouGov/Economist","2013-08-17","2013-08-19","2013-08-26T22:08:50Z",1000,"Adults","Internet",54,40,6,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-17856","http://cdn.yougov.com/cumulus_uploads/document/ys5fzajiwc/econToplines.pdf","Nonpartisan","None","",1,,"Clinton",14
"1471","YouGov/Economist","2013-08-10","2013-08-12","2013-08-15T16:24:43Z",1000,"Adults","Internet",51,42,7,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-17817","http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/a0b8g2pc5u/econToplines.pdf","Nonpartisan","None","",1,,"Clinton",9
"1472","YouGov/Economist","2013-08-03","2013-08-05","2013-08-08T15:52:23Z",1000,"Adults","Internet",53,44,2,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-17790","http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/eq6f41oaaz/20130805EconToplines.pdf","Nonpartisan","None","",1,,"Clinton",9
"1473","Monmouth University","2013-07-25","2013-07-30","2013-08-05T17:51:18Z",850,"Registered Voters","Live Phone",52,38,10,"http://elections.huffingtonpost.com/pollster/polls/monmouth-university-17773","http://www.monmouth.edu/assets/0/32212254770/32212254991/32212254992/32212254994/32212254995/30064771087/e0ed1098-9b34-4984-8a9e-0c6d16af7a82.pdf","Nonpartisan","None","",1,,"Clinton",14
